"chr","start","end","width","anodev.padj","pattern","Cd8Naive_over_Cd4Naive.log2fc","dmrid"
"chr1",2455051,2455750,700,0.00800921231315253,"CD4+ Hypermethylation DMR",-1.197929324532,41
"chr1",4375751,4376100,350,0.00849555856635464,"CD4+ Hypermethylation DMR",-1.23703296751463,65
"chr1",5449301,5449650,350,1.57064626689245e-09,"CD4+ Hypermethylation DMR",-2.23702783068154,95
"chr1",8973301,8973900,600,0.00961766829584182,"CD4+ Hypermethylation DMR",-0.676528078627551,166
"chr1",8982951,8985500,2550,2.49374876304387e-10,"CD4+ Hypermethylation DMR",-1.24522044220428,169
"chr1",8985851,8986850,1000,6.68960730011807e-05,"CD4+ Hypermethylation DMR",-1.9854874898648,170
"chr1",9027101,9027800,700,0.00467734159894521,"CD4+ Hypermethylation DMR",-1.63602557783364,176
"chr1",9721901,9722300,400,0.00599467509315595,"CD4+ Hypermethylation DMR",-0.939624665225882,199
"chr1",9774751,9775050,300,0.0092360661160091,"CD4+ Hypermethylation DMR",-1.34791613682669,210
"chr1",17397001,17397450,450,0.00935264790855427,"CD4+ Hypermethylation DMR",-0.880698246655328,387
"chr1",17541751,17542100,350,0.00896582447404058,"CD4+ Hypermethylation DMR",-1.40598292778495,395
"chr1",17634501,17634850,350,0.00821458449732279,"CD4+ Hypermethylation DMR",-2.80726836381745,397
"chr1",25237251,25238150,900,0.00886471826835651,"CD4+ Hypermethylation DMR",-1.41731227130461,589
"chr1",25238951,25239400,450,0.00933536323649795,"CD4+ Hypermethylation DMR",-2.34574876225372,590
"chr1",25249501,25250250,750,0.00735474926580769,"CD4+ Hypermethylation DMR",-1.93409494575585,593
"chr1",25288601,25290000,1400,0.00537795938769004,"CD4+ Hypermethylation DMR",-1.10433260854134,601
"chr1",25290251,25291100,850,0.000741597517674837,"CD4+ Hypermethylation DMR",-2.9242436357587,602
"chr1",25296251,25297000,750,0.00135806318576199,"CD4+ Hypermethylation DMR",-1.0363384523695,603
"chr1",25426951,25427450,500,0.000375529122506524,"CD4+ Hypermethylation DMR",-1.94188019509243,615
"chr1",25525201,25525500,300,0.00961991219655604,"CD4+ Hypermethylation DMR",-1.19437523345726,617
"chr1",28906451,28907050,600,0.00202680197977541,"CD4+ Hypermethylation DMR",-0.85479961437127,697
"chr1",36692451,36692750,300,0.00386949389939777,"CD4+ Hypermethylation DMR",-3.39219995197214,876
"chr1",37162601,37162850,250,0.00821458449732279,"CD4+ Hypermethylation DMR",-0.999997745794282,892
"chr1",37944001,37944350,350,0.00806084682647993,"CD4+ Hypermethylation DMR",-1.84797502597373,910
"chr1",37984601,37985000,400,0.00131659482834125,"CD4+ Hypermethylation DMR",-1.30338776139855,911
"chr1",39280201,39280500,300,0.00416000995106098,"CD4+ Hypermethylation DMR",-2.70038478617911,938
"chr1",39580901,39581300,400,0.00637947329072366,"CD4+ Hypermethylation DMR",-1.08341165464788,944
"chr1",40285251,40285600,350,0.00818320170753363,"CD4+ Hypermethylation DMR",-1.67241234722011,955
"chr1",40511401,40511700,300,0.0053235978152434,"CD4+ Hypermethylation DMR",-2.08743801875415,958
"chr1",40854451,40855000,550,0.00507216710324128,"CD4+ Hypermethylation DMR",-1.13749833007272,968
"chr1",40879751,40880100,350,0.00484685611251793,"CD4+ Hypermethylation DMR",-1.49879734560581,969
"chr1",43422601,43423250,650,0.00134613157651608,"CD4+ Hypermethylation DMR",-1.36772066770145,1022
"chr1",47557551,47557700,150,0.00952046255152069,"CD4+ Hypermethylation DMR",-1.75001345242536,1099
"chr1",50916751,50917000,250,0.00701513649226049,"CD4+ Hypermethylation DMR",-3.24783070502563,1148
"chr1",54768301,54769450,1150,0.00682699675308894,"CD4+ Hypermethylation DMR",-0.977033696376298,1212
"chr1",56974101,56974600,500,0.000589992775649566,"CD4+ Hypermethylation DMR",-1.87444813352807,1262
"chr1",58462051,58462300,250,0.00701513649226049,"CD4+ Hypermethylation DMR",-3.24783070502563,1279
"chr1",58703301,58703500,200,0.00559409130257823,"CD4+ Hypermethylation DMR",-16.6096549013151,1282
"chr1",62706801,62707150,350,0.00560192776598234,"CD4+ Hypermethylation DMR",-0.974462297761063,1338
"chr1",66158301,66158650,350,0.00934572142271696,"CD4+ Hypermethylation DMR",-1.03394364132185,1400
"chr1",67082651,67083100,450,0.00757568711242844,"CD4+ Hypermethylation DMR",-2.36918145520326,1415
"chr1",75576501,75577150,650,0.00897909238633079,"CD4+ Hypermethylation DMR",-1.49747828457852,1519
"chr1",88425151,88425350,200,0.00886471826835651,"CD4+ Hypermethylation DMR",-0.957770149410396,1692
"chr1",92116601,92116750,150,0.00897909238633079,"CD4+ Hypermethylation DMR",-3.90676941504168,1736
"chr1",97911301,97911550,250,0.00898986343661841,"CD4+ Hypermethylation DMR",-3.1698288257802,1823
"chr1",98310701,98310900,200,0.00667887655333306,"CD4+ Hypermethylation DMR",-1.72581574555755,1828
"chr1",105867151,105867400,250,0.00667756264733596,"CD4+ Hypermethylation DMR",-2.27298988967766,1902
"chr1",109189251,109189600,350,0.00400175812382702,"CD4+ Hypermethylation DMR",-1.79139680586422,1937
"chr1",111430701,111431150,450,4.67754666705215e-08,"CD4+ Hypermethylation DMR",-3.40592180580679,1983
"chr1",115616101,115616800,700,0.00507216710324128,"CD4+ Hypermethylation DMR",-0.849971225586475,2038
"chr1",116688201,116688800,600,0.00954252375244804,"CD4+ Hypermethylation DMR",-1.62531276980862,2054
"chr1",150721001,150721150,150,0.00734371774048682,"CD4+ Hypermethylation DMR",-17.3466147247473,2177
"chr1",151805651,151805950,300,0.00407541225334668,"CD4+ Hypermethylation DMR",-1.79139917331801,2199
"chr1",153607601,153608150,550,0.00263270274885836,"CD4+ Hypermethylation DMR",-1.18160031383237,2221
